symbol,recurring_eps_ttm,book_value_per_share,source_url
7205,0.6752,2.1609,https://cma.gov.sa/en/Market/Prospectuses/Documents/dar_albalad_en.pdf
1324,4.7206,21.4271,https://cma.gov.sa/en/Market/Prospectuses/Documents/Saleh_Abdulaziz_Al Rashed_en.pdf
4327,6.9153,22.2467,https://cma.gov.sa/en/Market/Prospectuses/Documents/Alramz_en.pdf
4147,0.647,1.5553,https://cma.gov.sa/en/Market/Prospectuses/Documents/CGS_EN.pdf
6019,1.4742,12.4138,https://cma.gov.sa/en/Market/Prospectuses/Documents/Al Masar_Al Shamil_en.pdf
4265,2.349,18.929,https://cma.gov.sa/en/Market/Prospectuses/Documents/cherry_en.pdf
4326,1.0773,2.6998,https://cma.gov.sa/en/Market/Prospectuses/Documents/almajdiah_en.pdf
4194,3.8171,21.3896,https://cma.gov.sa/en/Market/Prospectuses/Documents/Marketing_Home_Group_for_Trading_Company_en.pdf
6018,0.3025,1.3669,https://cma.gov.sa/en/Market/Prospectuses/Documents/Sport_Clubs_EN.pdf
4019,0.7409,3.3084,https://cma.gov.sa/en/Market/Prospectuses/Documents/smc_en.pdf
4264,3.319,10.0599,https://cma.gov.sa/en/Market/Prospectuses/Documents/Flynas_en.pdf
1323,3.3948,13.6199,https://cma.gov.sa/en/Market/Prospectuses/Documents/ucic_en.pdf
4325,0.4305,8.8847,https://cma.gov.sa/en/Market/Prospectuses/Documents/Umm_Al_Qura_En.pdf
2287,2.2847,15.2887,https://cma.gov.sa/en/Market/Prospectuses/Documents/entaj_en.pdf
4084,1.6966,3.8496,https://cma.gov.sa/en/Market/Prospectuses/Documents/Derayah_EN.pdf
4193,0.5999,1.5459,https://cma.gov.sa/en/Market/Prospectuses/Documents/nice_one_en.pdf
4018,1.3673,14.9417,https://cma.gov.sa/en/Market/Prospectuses/Documents/almoosa_health_en.pdf
4083,8.3039,39.5947,https://cma.gov.sa/en/Market/Prospectuses/Documents/united_international_holding_en.pdf
1835,2.3503,10.7124,https://cma.gov.sa/en/Market/Prospectuses/Documents/Tamkeen_en.pdf
2286,0.2882,1.2662,https://cma.gov.sa/en/Market/Prospectuses/Documents/Milling_Company_en.pdf
2285,4.4814,18.0163,https://cma.gov.sa/en/Market/Prospectuses/Documents/Arabian_Mills_PROSPECTUS_EN.pdf
4165,7.3071,19.7213,https://cma.gov.sa/en/Market/Prospectuses/Documents/Almajed_en.pdf
4143,2.0175,11.0051,https://cma.gov.sa/en/Market/Prospectuses/Documents/talco_en.pdf
8313,0.6062,1.5962,https://cma.gov.sa/en/Market/Prospectuses/Documents/rasan_en.pdf
1834,0.4157,1.3043,https://cma.gov.sa/en/Market/Prospectuses/Documents/smasco_en.pdf
2084,0.3525,2.4412,https://cma.gov.sa/en/Market/Prospectuses/Documents/miahona_en.pdf
4017,1.1464,5.1278,https://cma.gov.sa/en/Market/Prospectuses/Documents/Fakeeh_Care_Group_en.pdf
2284,2.8095,2.611,https://cma.gov.sa/en/Market/Prospectuses/Documents/modern_mills_en.pdf
4016,2.9661,13.8748,https://cma.gov.sa/en/Market/Prospectuses/Documents/avalon_pharma_en.pdf
4072,0.349,9.0419,https://cma.gov.sa/en/Market/Prospectuses/Documents/MBC_en.pdf
4263,5.0912,13.5787,https://cma.gov.sa/en/Market/Prospectuses/Documents/sal_en.pdf
2382,0.3901,2.2173,https://cma.gov.sa/en/Market/Prospectuses/Documents/ADES_En.pdf
4262,2.4807,14.5723,https://argaamplus.s3.amazonaws.com/03183fc2-6e53-4ce1-963a-01b92febe1c1.pdf
2283,3.9186,13.3652,https://cma.gov.sa/en/Market/Prospectuses/Documents/FMCPro.pdf
4082,0.6718,7.5014,https://cma.gov.sa/en/Market/Prospectuses/Documents/mrna_en.pdf
4015,2.4473,20.1117,https://cma.gov.sa/en/Market/Prospectuses/Documents/jamjoom_en.pdf
1833,3.9503,16.4744,https://cma.gov.sa/en/Market/Prospectuses/Documents/almawarid_en.pdf
2223,8.4165,22.9748,https://cma.gov.sa/en/Market/Prospectuses/Documents/Luberef_en.pdf
4192,4.8607,12.578,https://cma.gov.sa/en/Market/Prospectuses/Documents/alsaif_gallery_en.pdf
4142,2.2074,13.1724,https://cma.gov.sa/en/Market/Prospectuses/Documents/Riyadh_Cables_en.pdf
6015,0.1092,0.0964,https://argaamplus.s3.amazonaws.com/ee8a6089-8428-4fef-a276-9413435a31ea.pdf
2083,2.8135,31.1804,https://cma.gov.sa/en/Market/Prospectuses/Documents/marafiq1_EN.pdf
7204,5.8798,12.1375,https://cma.gov.sa/en/Market/Prospectuses/Documents/PerfectPresentationCompanyProspectusEN.pdf
2381,3.074,47.1098,https://cma.gov.sa/en/Market/Prospectuses/Documents/Arabian_Drilling_en.pdf
2282,3.6959,10.8941,https://cma.gov.sa/en/Market/Prospectuses/Documents/naqi_en.pdf
6014,4.6042,13.3476,https://cma.gov.sa/en/Market/Prospectuses/Documents/alamar_en.pdf
4322,4.0137,14.0962,https://cma.gov.sa/en/Market/Prospectuses/Documents/Retal_en.pdf
1183,1.1371,16.4469,https://cma.gov.sa/en/Market/Prospectuses/Documents/saudi_home_loans_en.pdf
1322,2.9215,8.2455,https://cma.gov.sa/en/Market/Prospectuses/Documents/amak_en.pdf
4164,5.2442,15.5362,https://cma.gov.sa/en/Market/Prospectuses/Documents/nahdi_en.pdf
4163,3.5265,14.7447,https://cma.gov.sa/en/Market/Prospectuses/Documents/dmsco_en.pdf
4014,3.7147,22.0657,https://cma.gov.sa/en/Market/Prospectuses/Documents/Scientific-&-Medical-Equipment-House-Company-Red-Herring-Prospectus.pdf
7203,6.9868,31.4119,https://cma.gov.sa/en/Market/Prospectuses/Documents/elm_en.pdf
1321,7.0603,24.6484,https://cma.gov.sa/en/Market/Prospectuses/Documents/east_pipes_en.pdf
4162,3.0579,11.1652,https://cma.gov.sa/en/Market/Prospectuses/Documents/almunajem_en.pdf
1111,5.2569,23.6627,https://cma.gov.sa/en/Market/Prospectuses/Documents/Saudi_Tadawul_Group_en.pdf
4081,2.0564,11.773,https://cma.gov.sa/en/Market/Prospectuses/Documents/Nayifat_en.pdf
4071,2.3824,12.0997,https://cma.gov.sa/en/Market/Prospectuses/Documents/Arabian_Contracting_en.pdf
2082,1.3730,11.1798,https://cma.gov.sa/Market/Prospectuses/Documents/Acwa_Main_Ar.pdf
7202,6.4582,17.2085,https://cma.gov.sa/en/Market/Prospectuses/Documents/solutions_by stc_en.pdf
2281,3.7207,17.3768,https://cma.gov.sa/en/Market/Prospectuses/Documents/Tanmiah_EN.pdf
4261,1.9126,10.988,https://cma.gov.sa/en/Market/Prospectuses/Documents/Theeb_en.pdf
2081,4.2452,10.2827,https://cma.gov.sa/en/Market/Prospectuses/Documents/alkhorayef_en.pdf
4161,4.8801,12.3187,https://cma.gov.sa/en/Market/Prospectuses/Documents/Dawood_en.pdf
1182,1.0044,12.6489,https://cma.gov.sa/en/Market/Prospectuses/Documents/Amlak_en.pdf
4013,2.3358,13.0839,https://cma.gov.sa/en/Market/Prospectuses/Documents/Dr. Sulaiman Al-Habib.pdf
2222,1.9678,5.1206,https://cma.gov.sa/en/Market/Prospectuses/Documents/Saudi_Aramco_Prospectus.pdf
4292,2.0056,17.4510,https://cma.gov.sa/Market/Prospectuses/Documents/ATAA_Prospectus.pdf
1831,6.2429,11.841,https://cma.gov.sa/en/Market/Prospectuses/Documents/Maharah_Prospectus_en.PDF
4321,1.8604,31.3112,https://cma.gov.sa/en/Market/Prospectuses/Documents/ACC-IPO-Main-Arabic-Prospectus-en.pdf
7200,6.093,10.0083,https://cma.gov.sa/en/Market/Prospectuses/Documents/MIS_Prospectus_en.pdf
4291,1.4617,8.1157,https://cma.gov.sa/Market/Prospectuses/Documents/NCLE-IPO-Arabic-Prospectus.pdf
1830,3.3255,12.0065,https://cma.gov.sa/en/Market/Prospectuses/Documents/Leejam_Sports_Company_prospectus_EN.pdf
