symbol,nominal_value,source_url
1182,10,https://www.argaam.com/en/tadawul/tasi/amlak
1321,10,https://saudipedia.com/en/article/1497/economy-and-business/companies/east-pipes-integrated-company-for-industry
1322,10,https://www.argaam.com/en/article/articledetail/id/1540994
1833,10,https://www.argaam.com/en/tadawul/tasi/almawarid
2081,10,https://www.argaam.com/en/tadawul/tasi/awpt
2082,10,https://www.argaam.com/en/article/articledetail/id/1824596
2282,10,https://www.argaam.com/ar/company/companyoverview/marketid/3/companyid/14432
4014,10,https://www.argaam.com/ar/article/articledetail/id/1526332
4016,10,https://www.mubasher.info/markets/TDWL/stocks/4016/profile
4019,1,https://cma.gov.sa/en/Market/Prospectuses/Documents/smc_en.pdf
4071,10,https://www.argaam.com/en/tadawul/tasi/alarabia
4081,10,https://www.argaam.com/en/tadawul/tasi/nayifat
4083,10,https://www.argaam.com/en/article/articledetail/id/1874632
4161,1,https://www.zawya.com/en/markets/equities/saudi-bindawoods-shareholders-approve-stock-split-rg1zl6z2
4192,1,https://www.argaam.com/ar/article/articledetail/id/1654200
4261,10,https://saudipedia.com/en/article/1789/economy-and-business/companies/theeb-car-rental-company
4264,10,https://www.argaam.com/ar/article/articledetail/id/1821525
4322,1,https://www.argaam.com/ar/company/companyoverview/marketid/3/companyid/10201
7204,1,https://www.argaam.com/en/company/companyoverview/marketid/3/companyid/14801
1830,10,https://www.argaam.com/en/article/articledetail/id/560786
4291,10,https://www.argaam.com/en/article/articledetail/id/576321
7200,10,https://www.argaam.com/en/article/articledetail/id/599428
4321,10,https://www.zawya.com/en/press-release/arabian-centres-company-listing-and-commencement-of-trading-on-tadawul-ysft8rwi
1831,10,https://www.argaam.com/en/tadawul/tasi/maharah
4292,10,https://www.argaam.com/en/article/articledetail/id/1300716
