symbol,company,slug,url
7205,Dar Albalad for Business Solutions,dar_albalad,https://cma.gov.sa/en/Market/Prospectuses/Documents/dar_albalad_en.pdf
1324,Saleh Abdulaziz Al Rashed and Sons,saleh_al_rashed,https://cma.gov.sa/en/Market/Prospectuses/Documents/Saleh_Abdulaziz_Al Rashed_en.pdf
4327,Alramz Real Estate,alramz,https://cma.gov.sa/en/Market/Prospectuses/Documents/Alramz_en.pdf
4147,Consolidated Grunenfelder Saady Holding,grunenfelder,https://cma.gov.sa/en/Market/Prospectuses/Documents/CGS_EN.pdf
6019,Almasar Alshamil Education,almasar_alshamil,https://cma.gov.sa/en/Market/Prospectuses/Documents/Al Masar_Al Shamil_en.pdf
4265,Cherry Trading,cherry,https://cma.gov.sa/en/Market/Prospectuses/Documents/cherry_en.pdf
4326,Dar Al Majed Real Estate,dar_al_majed,https://cma.gov.sa/en/Market/Prospectuses/Documents/almajdiah_en.pdf
4194,Marketing Home Group for Trading,marketing_home_group,https://cma.gov.sa/en/Market/Prospectuses/Documents/Marketing_Home_Group_for_Trading_Company_en.pdf
6018,Sport Clubs,sport_clubs,https://cma.gov.sa/en/Market/Prospectuses/Documents/Sport_Clubs_EN.pdf
4019,Specialized Medical (SMC Healthcare),specialized_medical,https://cma.gov.sa/en/Market/Prospectuses/Documents/smc_en.pdf
4264,Flynas,flynas,https://cma.gov.sa/en/Market/Prospectuses/Documents/Flynas_en.pdf
1323,United Carton Industries,united_carton,https://cma.gov.sa/en/Market/Prospectuses/Documents/ucic_en.pdf
4325,Umm Al Qura for Development and Construction,umm_al_qura,https://cma.gov.sa/en/Market/Prospectuses/Documents/Umm_Al_Qura_En.pdf
2287,Arabian Agricultural and Industrial Investment (Entaj),entaj,https://cma.gov.sa/en/Market/Prospectuses/Documents/entaj_en.pdf
4084,Derayah Financial,derayah,https://cma.gov.sa/en/Market/Prospectuses/Documents/Derayah_EN.pdf
4193,Nice One Beauty Digital Marketing,nice_one,https://cma.gov.sa/en/Market/Prospectuses/Documents/nice_one_en.pdf
4018,Almoosa Health,almoosa_health,https://cma.gov.sa/en/Market/Prospectuses/Documents/almoosa_health_en.pdf
4083,United International Holding,united_intl_holding,https://cma.gov.sa/en/Market/Prospectuses/Documents/united_international_holding_en.pdf
1835,Tamkeen Human Resources,tamkeen,https://cma.gov.sa/en/Market/Prospectuses/Documents/Tamkeen_en.pdf
2286,Fourth Milling,fourth_milling,https://cma.gov.sa/en/Market/Prospectuses/Documents/Milling_Company_en.pdf
2285,Arabian Mills for Food Products,arabian_mills,https://cma.gov.sa/en/Market/Prospectuses/Documents/Arabian_Mills_PROSPECTUS_EN.pdf
4165,Almajed Oud,almajed_oud,https://cma.gov.sa/en/Market/Prospectuses/Documents/Almajed_en.pdf
